trial,pilot_s,B_meet_settle,B_offset,B_ratio,C_band,C_cap,C_growth,C_on,C_theta1,F_field_slack,F_pad,F_slack,F_trust,K_field,K_floor
33,44471.9,1707,93,2,0.7025844582989218,8,1.0016114704574932,True,20.659585072143514,1.0796360571320869,2.5025363353739483,1.3855401970208474,1.8421334151617934,2,715
34,45099.5,1193,46,1,,,,False,,1.096530571511637,3.3077272592899005,1.4508752709958388,1.8493269522381206,2,
35,44002.5,3185,57,3,0.8102624634814655,7,1.1353595407526549,True,17.93483672619454,1.04171521281944,3.1877877965911803,1.3338835252975154,1.9056909700767943,4,817
36,43363.8,1530,101,2,0.6395929187352903,10,1.3500756644579281,True,20.11469613570213,1.0750944515959704,0.91542249234952,1.380365068708435,1.6010943141555662,2,431
37,43840.9,1588,135,3,,,,False,,1.1304092407877262,0.916571837885223,1.3928119154708225,1.5878966290707766,2,
38,44467.5,2034,100,1,0.5031280940501308,12,1.350959729057787,True,15.777102807865719,1.0761637988287607,2.703214918251531,1.4221142636514787,1.765710662797769,2,966
39,45221.4,1247,185,2,,,,False,,1.0999866171146875,3.5825555216658636,1.4770717278947783,1.8143118184289313,3,
40,43484.9,1074,42,5,0.6315053118630147,16,1.4332633375710182,True,19.992788327124263,1.1549431303591404,2.956165274998826,1.3599283215203988,1.533781071740343,4,459
41,44122.1,1004,26,6,0.6410698470010591,18,1.4526180160609488,True,19.979789586579354,1.1585308759617015,3.0523436025479507,1.3645044780067346,1.5112774482635414,4,443
42,43681.5,1384,31,5,0.6732532407839049,15,1.401039474315905,True,19.219122255683004,1.2344603250186998,2.216072612622226,1.384369257024694,1.602120758911232,2,455
43,44002.1,1172,20,7,0.6169340625036975,10,1.2867205633371883,True,20.2846137586328,1.2197842294100167,2.9149538510227413,1.3465202418461568,1.9703743984796702,3,258
44,43082.6,1418,41,7,0.7015674759327581,21,1.2001820499317875,True,21.6643933101001,1.1440102970195412,2.5415258086944132,1.369097322232515,1.7309637869868477,2,502
45,43765.3,1962,42,7,0.6952614556785913,23,1.1993046395708733,True,21.41216199766718,1.1827208317239215,2.572841557654955,1.3724828060811025,1.5329282683992644,4,524
46,47453.4,1384,37,6,,,,False,,1.144214418058339,3.6701292203763827,1.4254485645803059,1.6251634410917521,16,
47,44168.8,2030,31,8,0.6634372750697397,21,1.3081007840439471,True,18.534951862978705,1.12168691270584,2.994245726157735,1.3251566201420217,1.7190670574383065,5,1134
48,46544.5,1113,56,7,0.7102845542733354,18,1.4197347326917646,True,14.29962155931485,1.1715897395245498,2.626649686491325,1.4445790686260538,1.8860700693639563,3,402
49,44745.7,1584,42,5,0.7521732126476608,9,1.2258347215738348,True,17.241518385466456,1.14911851352288,2.336115559987284,1.4054871690550461,1.5789519517209116,4,589
50,43841.1,711,23,6,,,,False,,1.1354447599349156,3.40787764760589,1.3718669391891287,1.7255507060525959,2,
51,42885.6,907,70,2,0.7655167943298934,17,1.050663290425272,True,21.826494966608813,1.0902934755980251,2.21368238741498,1.3576981900662202,1.7882917120007022,2,252
52,43926.4,886,85,1,0.7448717248116374,17,1.0738907477658475,True,21.99868437117402,1.0908341749193045,2.247285004420145,1.3584124602411851,1.859204289002349,3,370
53,43283.8,1333,127,2,0.7727162294540006,21,1.164150042672568,True,19.570686247842037,1.1092260241880643,1.8090892730698993,1.3937051610392979,1.7726920478359394,2,280
54,44228.0,1325,138,1,0.7776130471776367,21,1.160277906380369,True,19.15212913317269,1.1070694748188932,1.7483186494867415,1.3985856734821829,1.76210095063643,3,284
55,44170.8,1087,125,8,0.8007977404172241,15,1.321690147581523,True,19.551409182018737,1.1186278205586355,1.2229924129447058,1.325351082583167,1.6951652997417168,5,487
56,45260.4,724,170,2,0.7696175324379255,20,1.61773665406172,True,18.250369749644186,1.0467991185516405,0.01765805070219506,1.5895146313997306,1.5475929022882002,4,224
57,44620.5,954,153,3,0.6327112421906701,24,1.2404502885419224,True,22.1816348068227,1.138864757396883,2.8343971295929054,1.4773495529757084,1.46331208569674,2,149
58,45265.4,592,49,2,0.942862501185509,16,1.4874936809113826,True,10.491937652562145,1.1059238390254165,1.8450808932129505,1.4182257222728878,1.742234270920838,3,282
59,45448.8,1506,101,7,0.8230823049986442,14,1.3811276057582464,True,15.888493516618869,1.1563818595737017,0.433950292104045,1.3413509892689928,1.781621548616647,7,1963
